step	time	achiral	left	right
 212    26.537832075         1       168       231
 213    26.661302605         3       168       229
 214    26.798197467         1       168       231
 215    26.915070261         3       167       230
 216    27.059112714         3       168       229
 217    27.168996160         1       166       233
 218    27.301488816         3       166       231
 219    27.423620482         1       166       233
 220    27.539543544         5       164       231
 221    27.670896017         5       165       230
 222    27.788905310         1       166       233
 223    27.923348012         3       163       234
 224    28.049945162         3       163       234
 225    28.158462350         1       163       236
 226    28.278544399         3       161       236
 227    28.396458788         3       162       235
 228    28.514473952         1       163       236
 229    28.638886972         3       164       233
 230    28.760343704         3       166       231
 231    28.876203547         3       166       231
 232    28.999891797         5       166       229
 233    29.105970782         3       167       230
 234    29.240387188         3       166       231
 235    29.357949629         1       167       232
 236    29.469411910         3       170       227
 237    29.616438586         5       169       226
 238    29.723535099         5       172       223
 239    29.850746651         3       169       228
 240    29.985712404         1       169       230
 241    30.098174934         3       168       229
 242    30.226799596         1       170       229
 243    30.359145503         1       168       231
 244    30.505528882         5       165       230
 245    30.646163724         1       167       232
 246    30.752264880         3       166       231
 247    30.888473863         3       167       230
 248    31.001331060         1       168       231
 249    31.129411963         1       168       231
 250    31.256707688         3       164       233
 251    31.371947079         1       167       232
 252    31.510156716         5       167       228
 253    31.626622936         5       165       230
 254    31.743716719         3       164       233
 255    31.873905337         1       166       233
 256    31.988599821         1       164       235
 257    32.116273578         3       165       232
 258    32.218079119         5       164       231
 259    32.346578190         3       163       234
 260    32.465155118         5       164       231
 261    32.592709560         1       165       234
 262    32.739751804         1       165       234
 263    32.872739578         5       164       231
 264    32.986300932         3       166       231
 265    33.102534952         3       165       232
 266    33.230602477         3       165       232
 267    33.357340821         1       166       233
 268    33.477243546         3       167       230
 269    33.621318016         3       168       229
 270    33.732042148         5       165       230
 271    33.859356704         7       164       229
 272    33.971549646         1       165       234
 273    34.110723849         3       165       232
 274    34.237764098         1       167       232
 275    34.346322899         5       164       231
 276    34.460010045         1       165       234
 277    34.589752778         1       163       236
 278    34.721084555         1       164       235
 279    34.843242466         3       168       229
 280    34.978907034         3       164       233
 281    35.100307494         1       164       235
 282    35.232955738         3       165       232
 283    35.367116062         3       163       234
 284    35.478819758         3       165       232
 285    35.596353548         3       164       233
 286    35.722339263         1       166       233
 287    35.854917019         1       166       233
 288    35.979137397         1       167       232
 289    36.089518468         1       168       231
 290    36.235566773         3       165       232
 291    36.348215363         3       165       232
 292    36.476239994         3       164       233
 293    36.599146237         3       166       231
 294    36.721692003         3       165       232
 295    36.845376008         5       165       230
 296    36.963374237         3       167       230
 297    37.077752889         5       164       231
 298    37.205911124         3       167       230
 299    37.343735055         3       169       228
 300    37.483616677         1       169       230
 301    37.613149307         1       169       230
 302    37.760029602         1       169       230
 303    37.882543099         3       169       228
 304    37.992966397         3       168       229
 305    38.108016682         1       170       229
 306    38.247411720         3       170       227
 307    38.358461362         3       169       228
 308    38.495284427         3       172       225
 309    38.610470964         3       172       225
 310    38.725282696         3       169       228
 311    38.831249741         3       171       226
 312    38.972495707         5       170       225
 313    39.091687452         3       171       226
 314    39.193888967         3       170       227
 315    39.316736678         3       170       227
 316    39.427953074         7       168       225
 317    39.538134209         1       168       231
 318    39.655840794         1       168       231
 319    39.764448571         3       167       230
 320    39.869760446         5       165       230
 321    39.987951518         3       168       229
 322    40.115353026         3       169       228
 323    40.227868572         1       169       230
 324    40.354428892         1       169       230
 325    40.481295482         1       170       229
 326    40.610736265         3       171       226
 327    40.743309858         3       172       225
 328    40.870787629         3       170       227
 329    41.000129004         1       171       228
 330    41.113671443         1       171       228
 331    41.235777569         1       173       226
 332    41.363949031         3       172       225
 333    41.497560977         1       175       224
 334    41.633257288         3       174       223
 335    41.767970914         3       175       222
 336    41.875000270         3       173       224
 337    41.995390204         5       175       220
 338    42.121156391         1       176       223
 339    42.223125510         5       176       219
 340    42.345863244         1       177       222
 341    42.478379399         3       175       222
 342    42.593393298         3       177       220
 343    42.737494511         1       176       223
 344    42.884238805         3       175       222
 345    43.002236723         1       174       225
 346    43.133753931         3       174       223
 347    43.253270592         5       171       224
 348    43.373174779         5       173       222
 349    43.497259400         3       173       224
 350    43.618728182         5       172       223
 351    43.725626545         1       174       225
 352    43.848796969         1       171       228
 353    43.972249226         1       170       229
 354    44.093515973         5       168       227
 355    44.210986772         1       173       226
 356    44.329301236         3       172       225
 357    44.454431074         1       173       226
 358    44.561608246         3       171       226
 359    44.700027522         3       171       226
 360    44.817721733         3       171       226
 361    44.947250943         5       172       223
 362    45.064759230         1       172       227
 363    45.181870141         1       171       228
 364    45.300547387         1       169       230
 365    45.439115848         3       168       229
 366    45.557075659         7       166       227
 367    45.681521228         5       169       226
 368    45.792977578         1       169       230
 369    45.931625082         3       166       231
 370    46.063123136         1       168       231
 371    46.192170688         3       166       231
 372    46.299961996         3       168       229
 373    46.422104315         5       169       226
 374    46.559034102         3       169       228
 375    46.660793003         3       172       225
 376    46.780176696         1       174       225
 377    46.905830405         3       173       224
 378    47.037295287         1       174       225
 379    47.159416120         3       175       222
 380    47.302729548         3       172       225
 381    47.427900256         1       173       226
 382    47.555019225         1       173       226
 383    47.691367661         1       172       227
 384    47.818679884         5       170       225
 385    47.945435982         3       170       227
 386    48.052860192         3       168       229
 387    48.183246143         5       167       228
 388    48.306326170         1       167       232
 389    48.429669921         1       168       231
 390    48.542825991         3       165       232
 391    48.662266615         5       165       230
 392    48.803042625         1       166       233
 393    48.944630858         1       168       231
 394    49.070746945         3       168       229
 395    49.192309632         1       170       229
 396    49.310331740         1       168       231
 397    49.431476246         5       165       230
 398    49.544844113         1       165       234
 399    49.685430991         1       166       233
