step	time	achiral	left	right
 126    15.452784551         1       119       280
 127    15.588729818         1       120       279
 128    15.706092504         3       123       274
 129    15.848334713         1       124       275
 130    15.981506657         1       126       273
 131    16.092596712         5       125       270
 132    16.217751994         3       125       272
 133    16.337884452         3       125       272
 134    16.459783949         3       124       273
 135    16.570038248         1       124       275
 136    16.707600892         1       122       277
 137    16.841570731         3       120       277
 138    16.970738231         3       121       276
 139    17.082955120         7       119       274
 140    17.199569948         3       119       278
 141    17.317717322         1       117       282
 142    17.441420194         3       116       281
 143    17.555023883         3       117       280
 144    17.668014007         1       117       282
 145    17.771995449         1       118       281
 146    17.891179341         1       118       281
 147    18.037672603         5       118       277
 148    18.171195407         1       117       282
 149    18.281738274         3       117       280
 150    18.387730302         3       115       282
 151    18.510116993         1       113       286
 152    18.631987006         5       113       282
 153    18.754427180         3       114       283
 154    18.903356670         1       115       284
 155    19.027824219         5       114       281
 156    19.153032991         3       114       283
 157    19.260317005         1       115       284
 158    19.375424438         1       114       285
 159    19.506514433         7       108       285
 160    19.614883078         3       112       285
 161    19.737267728         1       112       287
 162    19.874436079         3       113       284
 163    19.980314827         3       111       286
 164    20.118833045         3       113       284
 165    20.238977023         3       114       283
 166    20.368561211         3       115       282
 167    20.487243277         3       113       284
 168    20.619368441         1       113       286
 169    20.748882079         5       111       284
 170    20.875562064         1       113       286
 171    21.005087128         5       113       282
 172    21.128817399         1       115       284
 173    21.268469062         1       115       284
 174    21.403173625         3       113       284
 175    21.538362833         1       114       285
 176    21.657160615         1       113       286
 177    21.793914209         3       111       286
 178    21.936618963         3       111       286
 179    22.045295272         3       113       284
 180    22.192116795         3       112       285
 181    22.310998176         1       113       286
 182    22.430277837         3       111       286
 183    22.548867202         1       112       287
 184    22.669670081         3       111       286
 185    22.794265645         1       112       287
 186    22.914137961         5       111       284
 187    23.032520090         1       109       290
 188    23.157079433         7       104       289
 189    23.251697713         5       107       288
 190    23.376662234         5       106       289
 191    23.479683412         1       109       290
 192    23.610437521         3       108       289
 193    23.730498183         1       112       287
 194    23.871421219         1       114       285
 195    23.987063391         3       111       286
 196    24.104414265         1       111       288
 197    24.243625678         1       112       287
 198    24.377938476         1       109       290
 199    24.509728440         1       107       292
 200    24.634081759         5       108       287
 201    24.763872414         1       109       290
 202    24.895431044         3       109       288
 203    25.008301497         1       108       291
 204    25.137848529         1       109       290
 205    25.280608333         1       112       287
 206    25.434931085         1       110       289
 207    25.564441245         3       110       287
 208    25.694567738         3       110       287
 209    25.819555252         3       110       287
 210    25.956886300         5       108       287
 211    26.063297899         1       109       290
 212    26.185021020         5       107       288
 213    26.309052030         3       109       288
 214    26.431996323         3       108       289
 215    26.546171036         5       105       290
 216    26.644024840         1       107       292
 217    26.782444037         3       105       292
 218    26.912968460         1       105       294
 219    27.027808265         3       104       293
 220    27.140604407         1       101       298
 221    27.268713479         3        99       298
 222    27.412054740         1       101       298
 223    27.531835521         3       101       296
 224    27.654957873         3       100       297
 225    27.788782766         3        98       299
 226    27.905812105         3        96       301
 227    28.054057349         1        98       301
 228    28.172773868         1        98       301
 229    28.301738789         1        99       300
 230    28.436640534         5        97       298
 231    28.559486364         1        99       300
 232    28.688142985         1        98       301
 233    28.824256942         5        95       300
 234    28.957628860         3        97       300
 235    29.081811695         3        95       302
 236    29.203309415         1        97       302
 237    29.309567787         5        93       302
 238    29.428955199         1        96       303
 239    29.551509763         1        96       303
 240    29.681697086         1        99       300
 241    29.798759797         5        99       296
 242    29.941509740         1       100       299
 243    30.075317168         3        97       300
 244    30.200820161         3        97       300
 245    30.325808489         5        98       297
 246    30.431119108         3        97       300
 247    30.539992298         3        96       301
 248    30.680816405         1        96       303
 249    30.812040992         1        96       303
 250    30.946819421         3        92       305
 251    31.058994029         1        95       304
 252    31.189760266         3        93       304
 253    31.328842492         3        87       310
 254    31.449747215         1        88       311
 255    31.579753796         3        85       312
 256    31.698952179         1        85       314
 257    31.823520111         3        83       314
 258    31.961935556         3        81       316
 259    32.082796168         3        83       314
 260    32.206398530         3        84       313
 261    32.304672774         1        84       315
 262    32.450801730         1        83       316
 263    32.586009403         3        83       314
 264    32.711166450         7        84       309
 265    32.825817556         3        82       315
 266    32.951030410         3        81       316
 267    33.073515575         3        82       315
 268    33.198829134         3        82       315
 269    33.320358827         3        81       316
 270    33.434344608         3        81       316
 271    33.569535850         1        81       318
 272    33.691201023         3        81       316
 273    33.820302853         1        83       316
 274    33.972067770         1        83       316
 275    34.107465075         3        81       316
 276    34.219179566         3        83       314
 277    34.345232211         1        84       315
 278    34.469463076         3        83       314
 279    34.574093253         5        82       313
 280    34.698317253         5        84       311
 281    34.830991364         3        85       312
 282    34.964277795         1        84       315
 283    35.095965934         1        85       314
 284    35.222749147         5        87       308
 285    35.350841628         1        83       316
 286    35.466277881         5        81       314
 287    35.592478294         1        82       317
 288    35.709668741         3        81       316
 289    35.842689767         1        83       316
 290    35.975006774         1        82       317
 291    36.089432350         1        82       317
 292    36.221963510         5        82       313
 293    36.347427716         1        83       316
 294    36.467748023         1        83       316
 295    36.596279818         1        84       315
 296    36.728314895         1        84       315
 297    36.859167864         1        83       316
 298    36.996468882         1        83       316
 299    37.115330699         1        84       315
 300    37.256417161         3        82       315
 301    37.380863894         3        83       314
 302    37.510661405         1        83       316
 303    37.653375076         1        83       316
 304    37.781480714         1        83       316
 305    37.911885063         1        82       317
 306    38.039411489         3        81       316
 307    38.171103368         3        83       314
 308    38.293863873         3        82       315
 309    38.430337449         1        83       316
 310    38.566530959         3        82       315
 311    38.714787459         1        82       317
 312    38.858825711         1        79       320
 313    38.997488050         3        78       319
 314    39.122967691         3        74       323
 315    39.260090839         1        76       323
 316    39.398925978         1        75       324
 317    39.526550285         1        77       322
 318    39.653850638         3        77       320
 319    39.786292462         3        75       322
 320    39.906870043         1        76       323
 321    40.034589334         1        76       323
 322    40.152405670         3        77       320
 323    40.278823324         3        77       320
 324    40.367180660         1        75       324
 325    40.499635651         3        75       322
 326    40.631105311         1        74       325
 327    40.746119908         5        73       322
 328    40.845843883         3        77       320
 329    40.974592101         5        75       320
 330    41.085407783         5        74       321
 331    41.216523407         3        75       322
 332    41.344074456         1        77       322
 333    41.492901486         1        77       322
 334    41.625200199         3        76       321
 335    41.747001281         3        76       321
 336    41.846673358         3        76       321
 337    41.989048674         1        75       324
 338    42.112613815         5        71       324
 339    42.235310247         3        72       325
 340    42.354123725         3        73       324
 341    42.470848617         1        71       328
 342    42.598292579         1        73       326
 343    42.729266153         3        73       324
 344    42.846724369         1        72       327
 345    42.983245110         1        72       327
 346    43.111586585         1        72       327
 347    43.241392843         1        71       328
 348    43.354748343         5        68       327
 349    43.455022191         5        70       325
 350    43.585503166         1        71       328
 351    43.700501497         1        70       329
 352    43.804574565         3        69       328
 353    43.921744517         3        67       330
 354    44.040509479         1        67       332
 355    44.161987853         1        68       331
 356    44.257878136         3        66       331
 357    44.378144381         1        68       331
 358    44.517735766         1        68       331
 359    44.646856749         5        68       327
 360    44.768420302         3        68       329
 361    44.899692931         3        69       328
 362    45.024904809         1        69       330
 363    45.143576391         1        68       331
 364    45.293047100         1        70       329
 365    45.409748211         3        70       327
 366    45.545760173         3        67       330
 367    45.683217089         1        67       332
 368    45.818401239         1        68       331
 369    45.939891704         1        67       332
 370    46.070635303         5        68       327
 371    46.200097949         1        68       331
 372    46.327215514         3        67       330
 373    46.456059275         1        70       329
 374    46.596732835         3        68       329
 375    46.734255722         1        69       330
 376    46.856822021         1        70       329
 377    46.983714947         1        70       329
 378    47.083930622         1        70       329
 379    47.189500146         1        69       330
 380    47.299966188         3        67       330
 381    47.436499881         3        67       330
 382    47.550964675         1        64       335
 383    47.684898125         1        66       333
 384    47.817807611         5        65       330
 385    47.946494396         1        67       332
 386    48.089719385         3        67       330
 387    48.201182065         3        68       329
 388    48.315578649         3        68       329
 389    48.438247225         1        69       330
 390    48.581075193         3        69       328
 391    48.709873002         3        68       329
 392    48.835930980         3        66       331
 393    48.960200768         3        67       330
 394    49.100486589         1        67       332
 395    49.217605786         1        66       333
 396    49.358982781         1        67       332
 397    49.476082308         1        67       332
 398    49.590861912         5        65       330
 399    49.711620624         3        66       331
