step	time	achiral	left	right
   0     0.001250000       399         1         0
   1     0.087823383       299        51        50
   2     0.135430606       215        76       109
   3     0.178074548       135       116       149
   4     0.239089292        61       149       190
   5     0.322641919        15       151       234
   6     0.430846635        11       151       238
   7     0.554055150        11       154       235
   8     0.685111509         7       154       239
   9     0.809444227         9       156       235
  10     0.920249357         9       155       236
  11     1.029262029         9       155       236
  12     1.147683643         9       153       238
  13     1.269830529         7       158       235
  14     1.394572155         3       154       243
  15     1.521500358         3       153       244
  16     1.643161207         5       154       241
  17     1.769844912         5       153       242
  18     1.901767028         3       153       244
  19     2.025173996         1       151       248
  20     2.167010080         1       147       252
  21     2.292888795         3       144       253
  22     2.406758624         1       142       257
  23     2.533147322         1       141       258
  24     2.684144201         1       139       260
  25     2.806272855         3       139       258
  26     2.926916858         3       135       262
  27     3.042585730         3       133       264
  28     3.167829525         3       130       267
  29     3.303160306         3       133       264
  30     3.420167020         5       131       264
  31     3.556664717         1       134       265
  32     3.686182674         7       130       263
  33     3.816249321         1       130       269
  34     3.935834202         1       131       268
  35     4.049375585         1       128       271
  36     4.173679911         3       125       272
  37     4.295460218         3       123       274
  38     4.401911677         1       124       275
  39     4.517905801         1       123       276
  40     4.647568127         1       123       276
  41     4.769754738         1       121       278
  42     4.884587402         1       122       277
  43     5.018939388         3       121       276
  44     5.137543575         3       122       275
  45     5.242666980         1       123       276
  46     5.364569076         1       122       277
  47     5.494648132         1       124       275
  48     5.643313305         3       120       277
  49     5.766602471         3       123       274
  50     5.896197542         9       123       268
  51     6.004967614         3       121       276
  52     6.143765499         3       120       277
  53     6.269639724         1       121       278
  54     6.392534568         3       120       277
  55     6.527630303         1       121       278
  56     6.634786202         3       122       275
  57     6.760621128         1       122       277
  58     6.882917681         3       118       279
  59     7.002833220         3       119       278
  60     7.129963745         1       120       279
  61     7.260924974         3       121       276
  62     7.386918054         1       118       281
  63     7.514803433         1       117       282
  64     7.638582676         3       118       279
  65     7.772167985         3       119       278
  66     7.884205560         1       121       278
  67     8.006047206         3       118       279
  68     8.148845031         1       120       279
  69     8.283566240         1       119       280
  70     8.425797962         1       118       281
  71     8.539732269         1       120       279
  72     8.664046505         1       119       280
  73     8.778395566         5       115       280
  74     8.901030529         3       116       281
  75     9.037743526         3       117       280
  76     9.164559217         3       115       282
  77     9.278451087         3       115       282
  78     9.403956653         3       115       282
  79     9.519406492         1       112       287
  80     9.653824870         1       111       288
  81     9.771825674         3       112       285
  82     9.912210247         1       114       285
  83    10.044784062         3       113       284
  84    10.172330440         1       113       286
  85    10.300771017         5       111       284
  86    10.412670294         1       114       285
  87    10.532541244         1       115       284
  88    10.644810525         3       112       285
  89    10.776169350         3       113       284
  90    10.911623137         3       115       282
  91    11.034347883         1       117       282
  92    11.170922918         1       116       283
  93    11.316461478         1       116       283
  94    11.450296287         1       117       282
  95    11.578268976         3       117       280
  96    11.712876022         1       120       279
  97    11.840137028         3       121       276
  98    11.970305683         3       121       276
  99    12.108382785         3       123       274
 100    12.212965290         3       123       274
 101    12.337224505         1       120       279
 102    12.449369771         1       121       278
 103    12.590722809         1       122       277
 104    12.712284799         5       122       273
 105    12.825953356         5       119       276
 106    12.950375062         3       118       279
 107    13.092525457         1       120       279
 108    13.189363722         3       120       277
 109    13.314608010         1       118       281
 110    13.455494288         5       119       276
 111    13.588335388         5       117       278
 112    13.701136158         3       116       281
 113    13.802020954         1       117       282
 114    13.926204035         1       117       282
 115    14.062820993         3       119       278
 116    14.171387985         1       118       281
 117    14.302507350         3       117       280
 118    14.433345860         3       119       278
 119    14.554744637         3       120       277
 120    14.693502598         1       119       280
 121    14.815053255         1       120       279
 122    14.961917672         1       121       278
 123    15.082761839         1       118       281
 124    15.192422641         5       119       276
 125    15.321910929         3       120       277
